date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca,alpha,ntnb_5yr_yield_ma,est_bndes_tlp,obs_tlp_ipca,bndes_rate,us_treasury_yield,cds_brazil,solar_capacity_ratio,technology_premium,pre_tax_cost_of_debt,cost_of_debt,erp_sp500,cost_of_equity,debt_share,cost_of_capital,selic_target_rate,10yr_bloomberg_yield,yr10_gov_bond_yield,brl_5yr_bloomberg
01 September 2023,,5.15,5.64,5.19,1,5.323333333,5.323333333,9.76,9.76,4.571,5.189,15.6485239,1.5,11.26,7.4316,4.9,16.16,0.8,9.17728,12.75,6.72,11.87,5.64
01 October 2023,,5.14,6.21,4.82,1,5.386666667,5.386666667,10.33,10.33,4.931,5.399,15.819572,1.5,11.83,7.8078,4.84,16.67,0.8,9.58024,12.75,7.02,11.88,6.21
01 November 2023,,5.33,5.58,4.68,1,5.703333333,5.703333333,10.15,10.15,4.326,5.824,16.1025774,1.5,11.65,7.689,4.88,16.53,0.8,9.4572,12.25,6.33,10.97,5.58
01 December 2023,,5.56,5.25,4.62,1,5.81,5.81,10.24,10.24,3.879,6.361,16.4340374,1.5,11.74,7.7484,4.53,16.27,0.8,9.45272,11.75,5.96,10.36,5.25
01 January 2024,,5.6,5.38,4.51,1,5.68,5.68,10.22,10.22,3.912,6.308,16.6975472,1.5,11.72,7.7352,4.6,16.32,0.8,9.45216,11.25,6.2,10.66,5.38
01 February 2024,,5.48,5.68,4.5,1,5.403333333,5.403333333,9.99,9.99,4.25,5.74,17.0268079,1.5,11.49,7.5834,4.5,15.99,0.8,9.26472,11.25,6.24,10.77,5.68
01 March 2024,,5.41,5.7,3.93,1,5.436666667,5.436666667,9.91,9.91,4.2,5.71,17.4504901,1.5,11.41,7.5306,4.33,15.74,0.8,9.17248,10.75,6.22,10.98,5.7
01 April 2024,,5.48,6.29,3.69,1,5.586666667,5.586666667,9.41,9.41,4.68,4.73,17.8662393,1.5,10.91,7.2006,4.23,15.14,0.8,8.78848,10.75,6.69,11.8,6.29
01 May 2024,,5.7,6.23,3.93,1,5.89,5.89,9.39,9.39,4.499,4.891,18.3235941,1.5,10.89,7.1874,4.4,15.29,0.8,8.80792,10.5,6.47,11.84,6.23
01 June 2024,,5.91,6.56,4.23,1,6.073333333,6.073333333,9.84,9.84,4.396,5.444,18.6662902,1.5,11.34,7.4844,4.27,15.61,0.8,9.10952,10.5,6.59,12.33,6.56
