date,power_plant_name,sale_price_auction,lcoe_wacc,cost_of_capital,capex_current,capex_required_to_match_auction,capex_reduction_pct_required,capex_status
2021-07-08,SANTA LUZIA VII,127.4,162.47383451523547,11.96455829,144693200.0,108699006.69027908,24.876216235262554,solvable_with_capex_reduction
2021-07-08,SANTA LUZIA V,127.4,162.47383451523547,11.96455829,144693200.0,108699006.69027908,24.876216235262554,solvable_with_capex_reduction
2021-07-08,Boa Hora 5,120.0,316.7925961117681,11.96455829,109820000.0,31206039.470165174,71.5843749133444,solvable_with_capex_reduction
2021-07-08,Boa Hora 6,120.0,316.7925961117681,11.96455829,109820000.0,31206039.470165174,71.5843749133444,solvable_with_capex_reduction
2021-07-08,SANTA LUZIA VII,138.5,162.47383451523547,11.96455829,144693200.0,120090277.45550866,17.003509870879444,solvable_with_capex_reduction
2021-07-08,SANTA LUZIA IX,135.0,162.47383451523547,11.96455829,144693200.0,116498435.32232817,19.485894760549794,solvable_with_capex_reduction
2021-09-30,Bom Jardim I,168.0,248.4659874346851,13.15986776,209376430.0,132173611.09602477,36.87273629795638,solvable_with_capex_reduction
2021-09-30,Bom Jardim III,168.0,248.4659874346851,13.15986776,209376430.0,132173611.09602477,36.87273629795638,solvable_with_capex_reduction
2021-09-30,Raios de São Francisco V,166.61,207.39605292454323,13.15986776,100694010.0,78147735.16334368,22.390879891123927,solvable_with_capex_reduction
2021-09-30,Raios de São Francisco VI,166.32,207.39605292454323,13.15986776,100694010.0,77987424.97802795,22.550085175843176,solvable_with_capex_reduction
2021-09-30,Lins 01,166.31,265.62616739220516,13.15986776,16306000.0,9364449.25904053,42.57053073077069,solvable_with_capex_reduction
2021-09-30,Lins 02,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Lins 03,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Lins 04,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Lins 05,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Lins 06,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Lins 07,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
2021-09-30,Lins 08,166.31,288.02503775675086,13.15986776,17681000.0,9173914.67128649,48.11427706981228,solvable_with_capex_reduction
